projectKey,value,type,Ecosystem
Apache_sling-org-Apache-sling-scripting-bundle-tracker,1711,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-core,3769,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-esx,831,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler,6817,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-sightly,3255,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler-java,1763,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-sightly-js-provider,1316,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-java,1033,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-javascript,2640,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-jsp,27104,Java NCLOC,Apache
Apache_incubator-daffodil,90,Java NCLOC,Apache
Apache_sling-org-Apache-sling-commons-html,2940,Java NCLOC,Apache
Apache_sling-org-Apache-sling-hapi,1057,Java NCLOC,Apache
Apache_sling-org-Apache-sling-i18n,1135,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-contentloader,3045,Java NCLOC,Apache
Apache_sling-org-Apache-sling-installer-core,5241,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-accessmanager,1516,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-usermanager,2646,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-base,4086,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-classloader,904,Java NCLOC,Apache
Apache_sling-org-Apache-sling-installer-provider-jcr,1261,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-resource,3711,Java NCLOC,Apache
servicecomb-pack,13737,Java NCLOC,Apache
commons-numbers,5025,Java NCLOC,Apache
commons-rng,7042,Java NCLOC,Apache
commons-statistics,2453,Java NCLOC,Apache
cxf,382502,Java NCLOC,Apache
Apache_sling-org-Apache-sling-pipes,4537,Java NCLOC,Apache
Apache_sling-org-Apache-sling-provisioning-model,2227,Java NCLOC,Apache
Apache_sling-org-Apache-sling-query,3071,Java NCLOC,Apache
Apache_sling-org-Apache-sling-resource-filter,3669,Java NCLOC,Apache
Apache_sling-org-Apache-sling-resourcemerger,1105,Java NCLOC,Apache
Apache_sling-org-Apache-sling-resourceresolver,10142,Java NCLOC,Apache
Apache_sling-org-Apache-sling-discovery-impl,3738,Java NCLOC,Apache
Apache_sling-org-Apache-sling-rewriter,2544,Java NCLOC,Apache
Apache_groovy,167242,Java NCLOC,Apache
hadoop-ozone,113643,Java NCLOC,Apache
Apache_incubator-iotdb,77937,Java NCLOC,Apache
Apache_isis,155178,Java NCLOC,Apache
Apache_incubator-tamaya,7087,Java NCLOC,Apache
Apache_incubator-tamaya-extensions,15375,Java NCLOC,Apache
Apache_sling-org-Apache-sling-junit-teleporter,897,Java NCLOC,Apache
Apache_sling-org-Apache-sling-xss,1299,Java NCLOC,Apache
Apache_sling-org-Apache-sling-app-cms,8672,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-repoinit,1259,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-sling-mock,3470,Java NCLOC,Apache
Apache_sling-org-Apache-sling-junit-core,2366,Java NCLOC,Apache
Apache_sling-org-Apache-sling-feature-modelconverter,842,Java NCLOC,Apache
Apache_sling-org-Apache-sling-file-optimization,910,Java NCLOC,Apache
Apache_sling-org-Apache-sling-fsresource,3299,Java NCLOC,Apache
Apache_sling-org-Apache-sling-auth-form,1068,Java NCLOC,Apache
Apache_openmeetings,49554,Java NCLOC,Apache
jspwiki-builder,39027,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jobs,1256,Java NCLOC,Apache
Apache_sling-org-Apache-sling-launchpad-base,4280,Java NCLOC,Apache
Apache_sling-org-Apache-sling-launchpad-integration-tests,15638,Java NCLOC,Apache
Apache_sling-org-Apache-sling-launchpad-test-services,4343,Java NCLOC,Apache
Apache_sling-org-Apache-sling-tracer,1310,Java NCLOC,Apache
Apache_sling-maven-launchpad-plugin,2818,Java NCLOC,Apache
Apache_sling-maven-plugin,2229,Java NCLOC,Apache
Apache_sling-org-Apache-sling-models-impl,3913,Java NCLOC,Apache
Apache_sling-org-Apache-sling-models-integration-tests,804,Java NCLOC,Apache
Apache_sling-org-Apache-sling-api,4254,Java NCLOC,Apache
Apache_sling-org-Apache-sling-auth-core,2747,Java NCLOC,Apache
Apache_sling-org-Apache-sling-bundleresource-impl,1019,Java NCLOC,Apache
Apache_sling-org-Apache-sling-clam,1196,Java NCLOC,Apache
Apache_sling-org-Apache-sling-committer-cli,1325,Java NCLOC,Apache
Apache_sling-org-Apache-sling-commons-jcr-file,1459,Java NCLOC,Apache
Apache_sling-org-Apache-sling-commons-log,3649,Java NCLOC,Apache
Apache_sling-org-Apache-sling-commons-metrics,1412,Java NCLOC,Apache
JMeter,115963,Java NCLOC,Apache
commons-compress,26082,Java NCLOC,Apache
Apache-dolphinscheduler,41163,Java NCLOC,Apache
Apache_sling-org-Apache-sling-feature-io,2414,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jcr-webdav,898,Java NCLOC,Apache
Apache_sling-org-Apache-sling-jmx-provider,1021,Java NCLOC,Apache
Apache_sling-org-Apache-sling-distribution-journal,4531,Java NCLOC,Apache
Apache_sling-kickstart-maven-plugin,1315,Java NCLOC,Apache
ant-master,112288,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-thymeleaf,1141,Java NCLOC,Apache
poi-parent,259142,Java NCLOC,Apache
Apache_incubator-ratis,30509,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-clients,3822,Java NCLOC,Apache
Apache_struts,109617,Java NCLOC,Apache
servicecomb-toolkit,13462,Java NCLOC,Apache
Apache_sling-org-Apache-sling-servlets-get,2037,Java NCLOC,Apache
Apache_plc4x,39542,Java NCLOC,Apache
Apache_incubator-tamaya-sandbox,7056,Java NCLOC,Apache
commons-geometry,15522,Java NCLOC,Apache
Apache_sling-whiteboard,2182,Java NCLOC,Apache
Apache_sling-org-Apache-sling-distribution-core,13802,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-serversetup,943,Java NCLOC,Apache
Apache_sling-org-Apache-sling-serviceusermapper,918,Java NCLOC,Apache
Apache_sling-org-Apache-sling-servlet-helpers,2172,Java NCLOC,Apache
Apache_sling-org-Apache-sling-servlets-resolver,4266,Java NCLOC,Apache
Apache_sling-slingstart-maven-plugin,3881,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-jcr-mock,2155,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-osgi-mock,3176,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-paxexam,1370,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-resourceresolver-mock,1194,Java NCLOC,Apache
Apache_sling-scriptingbundle-maven-plugin,1117,Java NCLOC,Apache
roller-master,47689,Java NCLOC,Apache
Apache_sling-org-Apache-sling-scripting-jsp-taglib,1414,Java NCLOC,Apache
Apache_sling-org-Apache-sling-discovery-oak,2328,Java NCLOC,Apache
knox-gateway,65331,Java NCLOC,Apache
pdfbox-reactor,138598,Java NCLOC,Apache
Apache_sling-org-Apache-sling-discovery-base,2717,Java NCLOC,Apache
Apache_sling-org-Apache-sling-discovery-commons,2510,Java NCLOC,Apache
Apache_sling-org-Apache-sling-engine,7723,Java NCLOC,Apache
Apache_sling-org-Apache-sling-event,8691,Java NCLOC,Apache
Apache_sling-org-Apache-sling-feature,4664,Java NCLOC,Apache
Apache_sling-org-Apache-sling-feature-launcher,1332,Java NCLOC,Apache
Apache_sling-org-Apache-sling-feature-analyser,2318,Java NCLOC,Apache
org.Apache.nemo:nemo-project,30007,Java NCLOC,Apache
Apache_sling-jspc-maven-plugin,1286,Java NCLOC,Apache
Apache_sling-org-Apache-sling-commons-threads,1415,Java NCLOC,Apache
Apache_sling-org-Apache-sling-testing-rules,979,Java NCLOC,Apache
Apache_sling-org-Apache-sling-commons-testing,3407,Java NCLOC,Apache
Apache_sling-slingfeature-maven-plugin,6192,Java NCLOC,Apache
Apache_sling-org-Apache-sling-commons-scheduler,2405,Java NCLOC,Apache
Apache_sling-org-Apache-sling-feature-cpconverter,2672,Java NCLOC,Apache
Apache_sling-org-Apache-sling-caconfig-impl,4818,Java NCLOC,Apache
Apache_sling-org-Apache-sling-servlets-post,6080,Java NCLOC,Apache
Apache_sling-org-Apache-sling-validation-core,1836,Java NCLOC,Apache
Apache_sling-org-Apache-sling-feature-extension-apiregions,1416,Java NCLOC,Apache
ONAP_vfc-nfvo-wfengine-wfenginemgrservice,789,Java NCLOC,ONAP
ONAP_dcaegen2-services-bbs-event-processor,2938,Java NCLOC,ONAP
