projectKey,design_issues,java:S104,java:S107,java:S112,java:S133,java:S1104,java:S1113,java:S1118,java:S1130,java:S1133,java:S1160,java:S1161,java:S1165,java:S1166,java:S1182,java:S1185,java:S1188,java:S1194,java:S1199,java:S1210,java:S1217,java:S1220,java:S1221,java:1311,java:S1444,java:S1598,java:S1609,java:S1610,java:S2059,java:S2062,java:S2134,java:S2157,java:S2166,java:S2221,java:S2222,java:S2236,java:S2273,java:S2276,java:S2386,java:S2638,java:S2693,java:S2696,java:S2885,java:S2975,java:S3389,java:S3422
onap_ccsdk-sli-plugins,81,0,0,0,0,75,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onap_ccsdk-dashboard,165,0,3,73,0,69,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
onap_appc,318,0,5,120,0,4,0,39,95,5,0,3,23,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,1,0,0,6,5,2,0,0
onap_vnfsdk-validation,9,0,0,1,0,0,0,2,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onap_sdc,625,0,143,65,0,12,0,88,27,28,0,191,6,0,11,4,0,0,11,0,0,0,0,0,2,0,0,12,0,0,0,0,3,0,0,0,0,0,1,0,0,6,0,15,0,0
onap_so,422,0,73,130,0,0,0,20,100,17,0,19,34,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,9,0,0
onap_vid,132,0,15,5,0,86,0,10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0
onap_ccsdk-features,277,0,4,73,0,19,2,26,31,2,0,0,3,0,0,103,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
onap_ccsdk-sli-adaptors,239,0,3,8,0,186,0,7,24,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
onap_aai-graphadmin,207,0,16,76,0,6,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2,0,0,0
