projectKey,ncloc_java,files,classes,functions
apache_incubator-tamaya,7087,115,111,801
apache_incubator-tamaya-extensions,15375,316,276,1565
apache_sling-org-apache-sling-junit-teleporter,897,8,9,67
apache_sling-org-apache-sling-xss,1299,17,21,106
apache_sling-org-apache-sling-app-cms,8672,189,183,872
apache_sling-org-apache-sling-jcr-repoinit,1259,17,22,106
apache_sling-org-apache-sling-testing-sling-mock,3470,57,50,437
apache_sling-org-apache-sling-junit-core,2366,36,37,241
apache_sling-org-apache-sling-feature-modelconverter,842,5,3,21
apache_sling-org-apache-sling-file-optimization,910,19,20,73
apache_sling-org-apache-sling-fsresource,3299,35,42,354
apache_sling-org-apache-sling-auth-form,1068,11,12,82
apache_openmeetings,49554,726,583,5128
jspwiki-builder,39027,686,516,3110
apache_sling-org-apache-sling-jobs,1256,27,37,167
apache_sling-org-apache-sling-launchpad-base,4280,29,35,241
apache_sling-org-apache-sling-launchpad-integration-tests,15638,166,172,971
apache_sling-org-apache-sling-launchpad-test-services,4343,69,72,243
apache_sling-org-apache-sling-tracer,1310,15,23,128
apache_sling-maven-launchpad-plugin,2818,27,28,170
apache_sling-maven-plugin,2229,32,29,143
apache_sling-org-apache-sling-models-impl,3913,36,61,320
apache_sling-org-apache-sling-models-integration-tests,804,47,46,90
apache_sling-org-apache-sling-api,4254,121,116,662
apache_sling-org-apache-sling-auth-core,2747,31,33,210
apache_sling-org-apache-sling-bundleresource-impl,1019,10,10,77
apache_sling-org-apache-sling-clam,1196,20,20,95
apache_sling-org-apache-sling-committer-cli,1325,46,37,125
apache_sling-org-apache-sling-commons-jcr-file,1459,14,12,188
apache_sling-org-apache-sling-commons-log,3649,41,57,298
apache_sling-org-apache-sling-commons-metrics,1412,24,33,150
JMeter,115963,1138,1326,11101
commons-compress,26082,245,300,2445
apache-dolphinscheduler,41163,775,537,5091
apache_sling-org-apache-sling-feature-io,2414,22,21,122
apache_sling-org-apache-sling-jcr-webdav,898,15,14,103
apache_sling-org-apache-sling-jmx-provider,1021,8,8,62
apache_sling-org-apache-sling-distribution-journal,4531,69,74,458
apache_sling-kickstart-maven-plugin,1315,13,13,96
ant-master,112288,925,1277,11272
apache_ofbiz-plugins,0,2026,0,7702
apache_sling-org-apache-sling-scripting-thymeleaf,1141,17,16,95
poi-parent,259142,2458,3192,28697
apache_incubator-ratis,30509,334,511,3524
apache_sling-org-apache-sling-testing-clients,3822,69,62,445
apache_struts,109617,1543,1620,11893
servicecomb-toolkit,13462,484,465,1387
apache_ofbiz-framework,0,1615,0,6623
apache_sling-org-apache-sling-servlets-get,2037,15,20,117
apache_plc4x,39542,706,709,4197
apache_incubator-tamaya-sandbox,7056,132,131,814
commons-geometry,15522,191,238,2221
apache_sling-whiteboard,2182,36,28,184
apache_sling-org-apache-sling-distribution-core,13802,200,205,1152
apache_sling-org-apache-sling-testing-serversetup,943,15,13,85
apache_sling-org-apache-sling-serviceusermapper,918,12,14,69
apache_sling-org-apache-sling-servlet-helpers,2172,20,19,373
apache_sling-org-apache-sling-servlets-resolver,4266,37,39,257
apache_sling-slingstart-maven-plugin,3881,32,35,186
apache_sling-org-apache-sling-testing-jcr-mock,2155,23,22,348
apache_sling-org-apache-sling-testing-osgi-mock,3176,41,42,359
apache_sling-org-apache-sling-testing-paxexam,1370,5,3,102
apache_sling-org-apache-sling-testing-resourceresolver-mock,1194,16,15,140
apache_sling-scriptingbundle-maven-plugin,1117,11,13,78
roller-master,47689,665,528,5243
milagro,0,82,1,126
apache_sling-org-apache-sling-scripting-jsp-taglib,1414,29,28,153
apache_incubator-milagro-MPC,0,10,0,78
apache_sling-org-apache-sling-discovery-oak,2328,7,7,101
knox-gateway,65331,1123,1312,7338
pdfbox-reactor,138598,1194,1290,10746
apache_sling-org-apache-sling-discovery-base,2717,30,25,220
apache_sling-org-apache-sling-discovery-commons,2510,33,35,199
apache_sling-org-apache-sling-engine,7723,68,111,925
apache_sling-org-apache-sling-event,8691,59,76,592
apache_sling-org-apache-sling-feature,4664,46,45,319
apache_sling-org-apache-sling-feature-launcher,1332,17,17,94
apache_sling-org-apache-sling-feature-analyser,2318,38,36,184
org.apache.nemo:nemo-project,30007,494,653,3087
apache_sling-jspc-maven-plugin,1286,8,7,127
apache_sling-org-apache-sling-commons-threads,1415,19,22,168
apache_sling-org-apache-sling-testing-rules,979,34,33,101
apache_sling-org-apache-sling-commons-testing,3407,37,40,603
apache_sling-slingfeature-maven-plugin,6192,43,54,314
apache_sling-org-apache-sling-commons-scheduler,2405,23,27,174
apache_sling-org-apache-sling-feature-cpconverter,2672,57,52,233
apache_sling-org-apache-sling-caconfig-impl,4818,64,82,405
apache_sling-org-apache-sling-servlets-post,6080,50,65,482
apache_sling-org-apache-sling-validation-core,1836,23,23,142
apache_sling-org-apache-sling-feature-extension-apiregions,1416,17,16,89
