projectKey,ncloc_java,files,classes,functions
apache_sling-org-apache-sling-scripting-bundle-tracker,1711,24,24,149
apache_sling-org-apache-sling-scripting-core,3769,41,46,300
apache_sling-org-apache-sling-scripting-esx,831,14,13,76
apache_sling-org-apache-sling-scripting-sightly-compiler,6817,128,153,792
apache_sling-org-apache-sling-scripting-sightly,3255,36,43,170
apache_sling-org-apache-sling-scripting-sightly-compiler-java,1763,41,39,244
apache_sling-org-apache-sling-scripting-sightly-js-provider,1316,23,25,115
apache_sling-org-apache-sling-scripting-java,1033,10,12,114
apache_sling-org-apache-sling-scripting-javascript,2640,26,26,261
apache_sling-org-apache-sling-scripting-jsp,27104,124,228,2192
apache_incubator-daffodil,90,474,1302,5234
apache_sling-org-apache-sling-commons-html,2940,28,27,228
apache_sling-org-apache-sling-hapi,1057,20,21,164
apache_sling-org-apache-sling-i18n,1135,11,16,87
apache_sling-org-apache-sling-jcr-contentloader,3045,22,27,189
apache_sling-org-apache-sling-installer-core,5241,72,73,399
apache_sling-org-apache-sling-jcr-jackrabbit-accessmanager,1516,15,14,82
apache_sling-org-apache-sling-jcr-jackrabbit-usermanager,2646,25,30,165
apache_sling-org-apache-sling-jcr-base,4086,39,41,466
apache_sling-org-apache-sling-jcr-classloader,904,6,6,54
apache_sling-org-apache-sling-installer-provider-jcr,1261,11,15,81
apache_sling-org-apache-sling-jcr-resource,3711,33,33,281
servicecomb-pack,13737,327,332,1588
commons-numbers,5025,76,66,456
commons-rng,7042,143,162,809
commons-statistics,2453,36,34,336
cxf,382502,4440,4630,34970
apache_sling-parent,0,3,0,0
apache_sling-org-apache-sling-pipes,4537,55,64,454
apache_sling-org-apache-sling-provisioning-model,2227,26,30,157
apache_sling-org-apache-sling-query,3071,78,79,356
apache_sling-org-apache-sling-resource-filter,3669,24,24,218
apache_sling-org-apache-sling-resourcemerger,1105,17,20,76
apache_sling-org-apache-sling-resourceresolver,10142,60,83,778
apache_sling-org-apache-sling-discovery-impl,3738,16,17,157
apache_sling-org-apache-sling-rewriter,2544,37,46,224
apache_groovy,167242,1503,1771,18228
hadoop-ozone,113643,1406,1416,9718
apache_incubator-iotdb,77937,870,1022,8096
apache_isis,155178,3377,4258,16809
