projectKey,design_issues,java:S104,java:S107,java:S112,java:S133,java:S1104,java:S1113,java:S1118,java:S1130,java:S1133,java:S1160,java:S1161,java:S1165,java:S1166,java:S1182,java:S1185,java:S1188,java:S1194,java:S1199,java:S1210,java:S1217,java:S1220,java:S1221,java:1311,java:S1444,java:S1598,java:S1609,java:S1610,java:S2059,java:S2062,java:S2134,java:S2157,java:S2166,java:S2221,java:S2222,java:S2236,java:S2273,java:S2276,java:S2386,java:S2638,java:S2693,java:S2696,java:S2885,java:S2975,java:S3389,java:S3422
apache_plc4x,267,0,11,55,0,4,0,19,41,25,0,2,4,0,1,4,0,0,94,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
commons-compress,92,0,1,0,0,0,2,16,13,34,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
apache_sling-org-apache-sling-jcr-jackrabbit-accessmanager,11,0,3,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
apache_sling-org-apache-sling-validation-core,11,0,1,0,0,2,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-servlets-post,51,0,0,1,0,12,0,1,3,5,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
apache_incubator-tamaya-sandbox,7,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
apache_sling-org-apache-sling-resourcemerger,7,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-resourceresolver,82,0,0,2,0,7,0,4,56,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
apache_sling-org-apache-sling-feature,16,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_incubator-tamaya-extensions,55,0,2,2,0,0,0,0,28,10,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-jobs,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-commons-testing,179,0,1,3,0,0,0,2,160,5,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
apache_sling-org-apache-sling-api,65,0,0,0,0,13,0,8,0,33,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
apache_sling-org-apache-sling-resource-filter,66,0,0,18,0,21,0,1,0,2,0,1,5,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
apache_sling-org-apache-sling-testing-clients,46,0,0,4,0,0,0,9,12,17,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-scripting-core,8,0,2,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apache_sling-org-apache-sling-servlets-resolver,8,0,2,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-jcr-repoinit,12,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-junit-teleporter,10,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servicecomb-pack,58,0,17,20,0,0,0,5,12,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_incubator-ratis,149,0,12,24,0,34,0,7,16,1,0,6,3,0,0,4,0,0,0,3,0,0,0,0,34,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
apache_sling-org-apache-sling-jcr-resource,5,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-junit-core,45,0,0,8,0,0,0,2,23,2,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
commons-rng,10,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-slingstart-maven-plugin,45,0,1,15,0,14,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
knox-gateway,381,0,2,73,0,30,0,106,85,34,0,0,1,0,0,43,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
apache_sling-org-apache-sling-provisioning-model,12,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-scripting-jsp-taglib,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
apache_sling-org-apache-sling-scripting-sightly-compiler-java,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache_sling-org-apache-sling-tracer,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
