"","X1","projectKey","ncloc_java","files","classes","functions","design_issues","java:S104","java:S107","java:S112","java:S133","java:S1104","java:S1113","java:S1118","java:S1130","java:S1133","java:S1160","java:S1161","java:S1165","java:S1166","java:S1182","java:S1185","java:S1188","java:S1194","java:S1199","java:S1210","java:S1217","java:S1220","java:S1221","java:1311","java:S1444","java:S1598","java:S1609","java:S1610","java:S2059","java:S2062","java:S2134","java:S2157","java:S2166","java:S2221","java:S2222","java:S2236","java:S2273","java:S2276","java:S2386","java:S2638","java:S2693","java:S2696","java:S2885","java:S2975","java:S3389","java:S3422","AVGjava:S107","Kjava:S107","AVGjava:S112","Kjava:S112","AVGjava:S1104","Kjava:S1104","AVGjava:S1113","Kjava:S1113","AVGjava:S1118","Kjava:S1118","AVGjava:S1130","Kjava:S1130","AVGjava:S1133","Kjava:S1133","AVGjava:S1161","Kjava:S1161","AVGjava:S1165","Kjava:S1165","AVGjava:S1182","Kjava:S1182","AVGjava:S1185","Kjava:S1185","AVGjava:S1199","Kjava:S1199","AVGjava:S1210","Kjava:S1210","AVGjava:S1217","Kjava:S1217","AVGjava:S1220","Kjava:S1220","AVGjava:S1221","Kjava:S1221","AVGjava:S1444","Kjava:S1444","AVGjava:S1598","Kjava:S1598","AVGjava:S1610","Kjava:S1610","AVGjava:S2062","Kjava:S2062","AVGjava:S2157","Kjava:S2157","AVGjava:S2166","Kjava:S2166","AVGjava:S2222","Kjava:S2222","AVGjava:S2236","Kjava:S2236","AVGjava:S2273","Kjava:S2273","AVGjava:S2276","Kjava:S2276","AVGjava:S2386","Kjava:S2386","AVGjava:S2638","Kjava:S2638","AVGjava:S2696","Kjava:S2696","AVGjava:S2885","Kjava:S2885","AVGjava:S2975","Kjava:S2975","AVGjava:S3389","Kjava:S3389","AVGjava:S3422","Kjava:S3422","inheritance","exception","vmsmell","interface","threading","complexity","ATDx"
"11",11,"onap_dcaegen2-collectors-ves",2540,47,49,266,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.448979591837,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.1
"12",13,"onap_portal-sdk",68223,1290,527,6283,456,0,40,101,0,58,0,21,92,13,0,33,0,0,2,0,0,0,3,1,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,44,3,4,0,0,6.3663854846411,1.66666666666667,1.48043914808789,1,110.056925996205,1.25,0,0,39.8481973434535,2,1.34851882796124,2,2.06907528250836,1,5.2522680248289,2,0,0,3.79506641366224,2.5,0,0,0.0439734400422145,0,0.159159637116027,0,0,0,0,0,0,0,68.3111954459203,3,0,0,0,0,0,0,1.89753320683112,0,0,0,0,0,0,0,0,0,0,0,7.59013282732448,1.25,0,0,0.644943787285813,2.5,5.69259962049336,1.25,7.59013282732448,1.66666666666667,0,0,0,0,0.685185185185185,0.75,0.333333333333333,1.18333333333333,0.25,0.5,0.616975308641975
"13",14,"onap_policy-api",1937,23,27,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",15,"onap_aaf-authz",53346,684,782,4071,394,0,6,50,0,205,3,40,36,3,0,20,1,0,0,1,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,1.47383935151069,0,0.937277396618303,1,262.148337595908,2.5,3.83631713554987,5,51.150895140665,2,0.674839725565178,1,0.736919675755343,0,4.91279783836895,2,1.27877237851662,0,0,0,0.245639891918448,0,0,0,0.491279783836895,2.5,0,0,0,0,0,0,12.7877237851662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0664961636829,2.5,0,0,0.112473287594196,1.25,0,0,0,0,0,0,0,0,1.05555555555556,0.5,0.5,0.9,0,0,0.492592592592593
"15",17,"onap_policy-drools-pdp",24487,234,313,2427,41,0,0,5,0,0,0,3,6,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0.204189978355862,0,0,0,0,0,9.58466453674121,1,0.245027974027035,1,0,0,0,0,0,0,0,0,0,0,0.653407930738759,3,1.64812525751957,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19488817891374,1.25,0,0,0.245027974027035,1.25,0,0,0,0,0,0,0,0,0.555555555555556,0.25,1,0.2,0,1.5,0.584259259259259
"16",18,"onap_aai-data-router",5486,59,64,532,40,0,1,11,0,0,0,8,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8796992481203,0,2.0051039008385,2,0,0,0,0,125,3,3.0987969376595,3,0,0,0,0,46.875,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.6,0,0,0.433333333333333
"17",19,"onap_policy-models",23620,444,440,2146,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931966449207828,0,0.0423370025402202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",20,"onap_aai-validation",5258,78,98,669,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49476831091181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",21,"onap_aai-cacher",3848,61,63,293,27,0,0,9,0,12,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.33887733887734,2,190.47619047619,2.5,0,0,15.8730158730159,1,1.03950103950104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8730158730159,2.5,0,0,0,0,0,0,0,1,0,0.7,0.5,0,0.366666666666667
"20",22,"onap_aai-esr-server",4613,84,81,603,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30067201387384,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0833333333333333
