organization,key,name,tags,visibility,isNew,repo_url,eligibilityStatus,eligible
apache,apache_sling-org-apache-sling-discovery-impl,Apache Sling Resource-Based Discovery Service,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-discovery-impl,,
apache,apache_sling-org-apache-sling-rewriter,Apache Sling Rewriter,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-rewriter,,
onap,onap_policy-distribution,policy-distribution,[],public,False,,,
onap,onap_policy-pap,policy-pap,[],public,False,,,
apache,apache_groovy,Apache Groovy,[],public,False,https://github.com/apache/groovy,COMPLETED,False
apache,hadoop-ozone,Apache Hadoop Ozone Main,[],public,False,,,
apache,apache_incubator-iotdb,Apache IoTDB (incubating) Project Parent POM,[],public,False,https://github.com/apache/incubator-iotdb,,
apache,apache_isis,Apache Isis (Aggregator),[],public,False,https://github.com/apache/isis,,
onap,onap_dcaegen2-analytics-tca,dcaegen2-analytics-tca,[],public,False,,,
onap,onap_dcaegen2-analytics-tca-gen2,dcaegen2-analytics-tca-gen2,[],public,False,,,
onap,onap_dcaegen2-collectors-restconf,dcaegen2-collectors-restconf,[],public,False,,,
onap,onap_dcaegen2-collectors-snmptrap,dcaegen2-collectors-snmptrap,[],public,False,,,
onap,onap_dcaegen2-collectors-ves,dcaegen2-collectors-ves,[],public,False,,,
onap,onap_dcaegen2-collectors-hv-ves,dcaegen2-collectors-veshv,[],public,False,,,
onap,onap_portal-sdk,portal-sdk,[],public,False,,,
apache,apache_incubator-tamaya,Apache Tamaya Base,['tamaya'],public,False,https://github.com/apache/incubator-tamaya,,
apache,apache_incubator-tamaya-extensions,Apache Tamaya Extensions,['tamaya'],public,False,https://github.com/apache/incubator-tamaya-extensions,,
onap,onap_policy-api,policy-api,[],public,False,,,
onap,onap_aaf-authz,aaf-authz,[],public,False,,,
apache,apache_sling-org-apache-sling-junit-teleporter,Apache Sling JUnit Tests Teleporter,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-junit-teleporter,,
