,projectKey,ncloc_java,files,classes,functions,design_issues,java:S104,java:S107,java:S112,java:S133,java:S1104,java:S1113,java:S1118,java:S1130,java:S1133,java:S1160,java:S1161,java:S1165,java:S1166,java:S1182,java:S1185,java:S1188,java:S1194,java:S1199,java:S1210,java:S1217,java:S1220,java:S1221,java:1311,java:S1444,java:S1598,java:S1609,java:S1610,java:S2059,java:S2062,java:S2134,java:S2157,java:S2166,java:S2221,java:S2222,java:S2236,java:S2273,java:S2276,java:S2386,java:S2638,java:S2693,java:S2696,java:S2885,java:S2975,java:S3389,java:S3422
37,onap_externalapi-nbi,7036,138,127,827,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,onap_aaf-certservice,1758,104,74,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,onap_aai-aai-common,28862,411,459,2935,156,0,4,32,0,2,0,26,72,2,0,7,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0
41,onap_aai-babel,2750,53,60,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,onap_dcaegen2-platform-mod-runtimeapi,940,29,27,128,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,onap_dcaegen2-services-datalake-handler,3472,59,58,209,7,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,onap_dcaegen2-services-datalake-handler-jess,3472,59,58,209,7,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,onap_dcaegen2-services-mapper,16342,128,170,2366,14,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,onap_ccsdk-cds,800,412,700,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,onap_policy-common,16608,261,285,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,onap_policy-drools-applications,6296,90,83,542,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,onap_policy-xacml-pdp,5311,82,76,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,onap_dmaap-dbcapi,10132,100,117,868,21,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
57,onap_aai-search-data-service,5058,66,72,518,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,onap_logging-analytics-pomba-pomba-aai-context-builder,4650,36,35,528,14,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,onap_logging-analytics-pomba-pomba-audit-common,1195,19,20,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,onap_logging-analytics-pomba-pomba-context-aggregator,927,16,18,87,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,onap_logging-analytics-pomba-pomba-network-discovery-context-builder,756,15,15,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,onap_logging-analytics-pomba-pomba-sdc-context-builder,828,18,17,102,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,onap_so-libs,12482,278,551,2414,23,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,onap_aai-schema-service,7150,87,84,533,68,0,2,5,0,3,0,0,34,0,0,11,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
65,onap_dcaegen2-services-prh,2098,60,58,251,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,onap_dcaegen2-services-sdk,3786,162,139,521,22,0,0,1,0,0,0,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,onap_dcaegen2-services-son-handler,5951,118,117,756,9,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
68,onap_dmaap-datarouter,15505,109,128,1144,23,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0
69,onap_integration-pnf-simulator,2932,88,88,248,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,onap_integration-simulators-pnf-simulator,2879,86,86,253,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,onap_aai-sparky-be,16562,205,213,1670,155,0,8,23,0,28,0,12,22,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,onap_dcaegen2-services-pm-mapper,2102,53,76,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,onap_clamp,9624,195,173,1634,15,0,1,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,onap_portal,40871,743,416,3604,385,0,4,197,0,76,0,12,53,1,0,22,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0
75,onap_multicloud-framework-artifactbroker,2800,67,64,366,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,onap_logging-analytics,2267,79,70,261,13,0,0,1,0,0,0,4,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,onap_ccsdk-apps,5297,94,95,667,41,0,0,32,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,onap_ccsdk-dashboard,7646,201,159,611,165,0,3,73,0,69,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0
79,onap_vfc-nfvo-wfengine-activiti-extension,753,17,16,67,11,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,onap_ccsdk-features,26997,503,435,2586,277,0,4,73,0,19,2,26,31,2,0,0,3,0,0,103,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
81,onap_dcaegen2-platform-inventory-api,1959,32,41,227,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,onap_sdnc-apps,972,16,13,122,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,onap_cli,8887,167,144,766,27,0,0,5,0,0,0,7,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,onap_ccsdk-sli-adaptors,14810,228,186,1083,239,0,3,8,0,186,0,7,24,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
85,onap_ccsdk-sli-core,12029,151,132,766,58,0,0,6,0,3,0,9,17,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
86,onap_ccsdk-sli-northbound,4025,68,36,251,12,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
87,onap_dcaegen2-collectors-datafile,2392,41,43,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,onap_aai-spike,1862,30,35,193,11,0,0,1,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,onap_aai-traversal,9382,91,93,621,26,0,11,5,0,1,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
91,onap_vid,25570,654,602,8459,132,0,15,5,0,86,0,10,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0
92,onap_dmaap-messagerouter-messageservice,3599,28,39,186,16,0,0,3,0,5,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,onap_vnfsdk-functest,1711,29,27,171,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,onap_ccsdk-sli-plugins,7929,129,108,595,81,0,0,0,0,75,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,onap_holmes-engine-management,1233,24,22,73,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,onap_holmes-rule-management,1101,31,23,64,11,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,onap_msb-apigateway,7181,99,105,589,79,0,0,42,0,2,0,15,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
99,onap_vnfsdk-ves-agent,9634,31,75,499,59,0,8,0,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0
100,onap_music,8756,65,71,741,71,0,21,16,0,6,0,4,4,10,0,0,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,onap_holmes-common,2432,69,69,193,21,0,0,1,0,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
104,onap_msb-discovery,5482,64,69,541,43,0,0,18,0,1,0,4,5,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
105,onap_msb-java-sdk,1968,48,50,245,28,0,0,4,0,0,0,5,15,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,onap_vfc-nfvo-multivimproxy,2505,41,38,265,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,onap_vfc-nfvo-driver-vnfm-gvnfm-juju,6800,89,96,786,20,0,0,0,0,0,0,3,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,onap_dmaap-messagerouter-dmaapclient,5069,50,68,450,88,0,6,4,0,11,0,4,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0
111,onap_policy-apex-pdp,43248,703,533,3881,9,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
112,onap_logging-analytics-pomba-pomba-sdnc-context-builder,4035,49,48,504,8,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,onap_sdc-sdc-distribution-client,3051,50,51,420,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,onap_dmaap-messagerouter-msgrtr,7898,97,127,832,57,0,5,5,0,2,0,5,36,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,onap_sdc-sdc-workflow-designer,3055,106,101,258,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,onap_vnfsdk-validation,5097,72,197,524,9,0,0,1,0,0,0,2,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,onap_vnfsdk-refrepo,4570,85,93,517,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,onap_sdc-dcae-d-dt-be-main,7765,139,161,863,20,0,0,4,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0
120,onap_sdnc-northbound,5976,47,15,228,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
121,onap_sdc-dcae-d-ci,4613,58,62,422,73,0,0,51,0,2,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122,onap_sdc-dcae-d-dt-be-property,4766,103,121,988,62,0,1,0,0,27,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,onap_sdc-sdc-tosca,11404,112,115,1021,86,0,0,0,0,2,0,6,1,46,0,14,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0
125,onap_vfc-nfvo-driver-svnfm-huawei,5637,75,73,438,7,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,onap_dmaap-messagerouter-mirroragent,854,10,9,50,11,0,0,1,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,onap_vfc-nfvo-driver-vnfm-svnfm-nokiav2,5589,96,93,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,onap_vfc-nfvo-resmanagement,9066,160,156,1209,9,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,onap_so,137549,2168,2233,15526,422,0,73,130,0,0,0,20,100,17,0,19,34,0,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,9,0,0
131,onap_vfc-nfvo-driver-ems,3385,48,49,280,15,0,1,0,0,3,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,onap_vfc-nfvo-driver-sfc,1200,35,32,186,14,0,0,8,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
