"","X1","projectKey","ncloc_java","files","classes","functions","design_issues","java:S104","java:S107","java:S112","java:S133","java:S1104","java:S1113","java:S1118","java:S1130","java:S1133","java:S1160","java:S1161","java:S1165","java:S1166","java:S1182","java:S1185","java:S1188","java:S1194","java:S1199","java:S1210","java:S1217","java:S1220","java:S1221","java:1311","java:S1444","java:S1598","java:S1609","java:S1610","java:S2059","java:S2062","java:S2134","java:S2157","java:S2166","java:S2221","java:S2222","java:S2236","java:S2273","java:S2276","java:S2386","java:S2638","java:S2693","java:S2696","java:S2885","java:S2975","java:S3389","java:S3422","AVGjava:S107","Kjava:S107","AVGjava:S112","Kjava:S112","AVGjava:S1104","Kjava:S1104","AVGjava:S1113","Kjava:S1113","AVGjava:S1118","Kjava:S1118","AVGjava:S1130","Kjava:S1130","AVGjava:S1133","Kjava:S1133","AVGjava:S1161","Kjava:S1161","AVGjava:S1165","Kjava:S1165","AVGjava:S1182","Kjava:S1182","AVGjava:S1185","Kjava:S1185","AVGjava:S1199","Kjava:S1199","AVGjava:S1210","Kjava:S1210","AVGjava:S1217","Kjava:S1217","AVGjava:S1220","Kjava:S1220","AVGjava:S1221","Kjava:S1221","AVGjava:S1444","Kjava:S1444","AVGjava:S1598","Kjava:S1598","AVGjava:S1610","Kjava:S1610","AVGjava:S2062","Kjava:S2062","AVGjava:S2157","Kjava:S2157","AVGjava:S2166","Kjava:S2166","AVGjava:S2222","Kjava:S2222","AVGjava:S2236","Kjava:S2236","AVGjava:S2273","Kjava:S2273","AVGjava:S2276","Kjava:S2276","AVGjava:S2386","Kjava:S2386","AVGjava:S2638","Kjava:S2638","AVGjava:S2696","Kjava:S2696","AVGjava:S2885","Kjava:S2885","AVGjava:S2975","Kjava:S2975","AVGjava:S3389","Kjava:S3389","AVGjava:S3422","Kjava:S3422","inheritance","exception","vmsmell","interface","threading","complexity","ATDx"
"11",10,"apache_incubator-daffodil",90,474,1302,5234,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768049155145929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0.0520833333333333
"12",11,"apache_sling-org-apache-sling-commons-html",2940,28,27,228,55,0,0,10,0,16,0,0,0,2,0,2,5,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3.40136054421769,2.5,592.592592592593,5,0,0,0,0,0,0,8.7719298245614,1.25,8.7719298245614,1,185.185185185185,5,0,0,4.3859649122807,1.66666666666667,5.10204081632653,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.148148148148,5,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296296296,1.875,0,1.25,0,3.125,1.09104938271605
"13",12,"apache_sling-org-apache-sling-hapi",1057,20,21,164,11,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6.09756097560976,2,2.83822138126774,2.5,0,0,0,0,0,0,0,0,24.390243902439,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83822138126774,5,0,0,0,0,0,0,0,0,0,0.625,0,0.9,0,1.25,0.4625
"14",13,"apache_sling-org-apache-sling-i18n",1135,11,16,87,5,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1.66666666666667,0,0,0,0,0.881057268722467,0,11.4942528735632,1.25,0,0,0,0,0,0,11.4942528735632,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037037037,0,0,0.583333333333333,0,0.625,0.263117283950617
"15",14,"apache_sling-org-apache-sling-jcr-contentloader",3045,22,27,189,23,0,0,3,0,11,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.985221674876847,1.25,407.407407407407,3.33333333333333,0,0,37.037037037037,1,0,0,0,0,15.8730158730159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.111111111111,4,0,0,37.037037037037,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.037037037037,2.5,0,0,0,0,0,0,0.222222222222222,0.3125,0,1.86666666666667,0.5,0,0.483564814814815
"16",15,"apache_sling-org-apache-sling-installer-core",5241,72,73,399,19,0,2,1,0,9,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0125313283208,2,0.190803281816447,0,123.287671232877,1.66666666666667,0,0,27.3972602739726,1,0.190803281816447,0,5.0125313283208,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6986301369863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190803281816447,1,0,0,0,0,0,0,0,0,0,0,0,1.18333333333333,0,0.625,0.301388888888889
"17",16,"apache_sling-org-apache-sling-jcr-jackrabbit-accessmanager",1516,15,14,82,11,0,3,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.5853658536585,5,0,0,142.857142857143,1.66666666666667,0,0,0,0,0,0,36.5853658536585,3.75,0,0,0,0,0,0,24.390243902439,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659630606860158,3,0,0,0,0,0,0,0,0,0.555555555555556,0,0,2.08333333333333,0,1.875,0.752314814814815
"18",17,"apache_sling-org-apache-sling-jcr-jackrabbit-usermanager",2646,25,30,165,19,0,0,0,0,2,0,0,6,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,1.66666666666667,0,0,0,0,2.26757369614512,0,18.1818181818182,2.5,12.1212121212121,1,0,0,0,0,36.3636363636364,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.833333333333333,0,1.25,0.458333333333333
"19",18,"apache_sling-org-apache-sling-jcr-base",4086,39,41,466,492,0,1,0,0,0,0,2,486,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14592274678112,1,0,0,0,0,0,0,48.780487804878,1,118.942731277533,5,4.29184549356223,0,0,0,0,0,0,0,0,0,0,0,2.14592274678112,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138888888888889,1.25,0.25,0.4,0,0,0.339814814814815
"20",19,"apache_sling-org-apache-sling-jcr-classloader",904,6,6,54,11,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21238938053097,0,0,0,166.666666666667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,0,0,0,0,0.0925925925925926
"21",20,"apache_sling-org-apache-sling-installer-provider-jcr",1261,11,15,81,5,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793021411578113,1.25,0,0,0,0,66.6666666666667,2,1.58604282315623,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3456790123457,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0.3125,0.75,0.4,0,0,0.313194444444444
"22",21,"apache_sling-org-apache-sling-jcr-resource",3711,33,33,281,5,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.9090909090909,2,0.269469145782808,0,3.55871886120996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.0666666666666667
"23",22,"servicecomb-pack",13737,327,332,1588,58,0,17,20,0,0,0,5,12,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7052896725441,3,1.45592196258281,1.25,0,0,0,0,15.0602409638554,0,0.873553177549683,0,1.25944584382872,0,0.629722921914358,0,0,0,0,0,0,0,0,0,0.629722921914358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0.6,0,0,0.152083333333333
"24",23,"commons-numbers",5025,76,66,456,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19298245614035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.0333333333333333
"25",24,"commons-rng",7042,143,162,809,10,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47218788627936,1,0,0,0,0,0,0,0,0,0,0,9.88875154511743,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.625,0.179166666666667
"26",25,"commons-statistics",2453,36,34,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",26,"cxf",382502,4440,4630,34970,3271,0,37,746,0,49,3,1,1196,58,0,833,34,0,2,6,0,0,210,3,1,0,4,0,49,0,0,1,0,0,0,0,2,0,0,0,0,1,9,0,0,18,0,4,0,4,1.05804975693452,0,1.95031659965177,1.25,10.5831533477322,0,0.647948164146868,1.25,0.215982721382289,0,3.12678103643903,0,1.65856448384329,0,23.8204175007149,2,7.34341252699784,1.25,0.431965442764579,0,0.171575636259651,0,0.549016737167387,1.66666666666667,0.0857878181298256,0,0.0026143654150828,0,0,0,0.114383757506434,5,10.5831533477322,1,0,0,0.215982721382289,0,0,0,0,0,0.431965442764579,0,0,0,0,0,0,0,0.0026143654150828,0,1.9438444924406,0,0,0,0.0470585774714903,0,0,0,0.863930885529158,0,0,0,0.0104574616603312,0,0.361111111111111,0.625,0,0,0,0.833333333333333,0.303240740740741
"28",28,"apache_sling-org-apache-sling-pipes",4537,55,64,454,45,0,0,27,0,0,0,2,5,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5.95106898831827,3.75,0,0,0,0,31.25,1,1.10204981265153,0,0,0,2.20264317180617,0,0,0,0,0,0,0,1.76327970024245,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0.2,0,1.66666666666667,0.467361111111111
"29",29,"apache_sling-org-apache-sling-provisioning-model",2227,26,30,157,12,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.333333333333,3,0.449034575662326,0,19.1082802547771,2.5,0,0,0,0,0,0,0,0,0,0,25.4777070063694,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0,1,1.1,0,1.25,0.650925925925926
"30",30,"apache_sling-org-apache-sling-query",3071,78,79,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,"apache_sling-org-apache-sling-resource-filter",3669,24,24,218,66,0,0,18,0,21,0,1,0,2,0,1,5,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4.90596892886345,2.5,875,5,0,0,41.6666666666667,1,0,0,9.1743119266055,1.25,4.58715596330275,0,208.333333333333,5,0,0,4.58715596330275,1.66666666666667,3.81575361133824,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,5,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185185185,1.875,0,1.45,0,3.125,1.10586419753086
"32",32,"apache_sling-org-apache-sling-resourcemerger",1105,17,20,76,7,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.66666666666667,0,0,50,1,0,0,26.3157894736842,2.5,26.3157894736842,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,1.03333333333333,0,1.25,0.417592592592593
"33",33,"apache_sling-org-apache-sling-resourceresolver",10142,60,83,778,82,0,0,2,0,7,0,4,56,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.197199763360284,0,84.3373493975904,1.66666666666667,0,0,48.1927710843374,1,5.52159337408795,1.25,0,0,1.2853470437018,0,48.1927710843374,2.5,0,0,0,0,0,0,7.7120822622108,2.5,0,0,0,0,0,0,12.0481927710843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0481927710843,2,0,0,0,0,0.5,0.9375,0.9,0.533333333333333,0,0,0.478472222222222
"34",34,"apache_sling-org-apache-sling-discovery-impl",3738,16,17,157,10,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36942675159236,2,1.60513643659711,1.25,0,0,0,0,117.647058823529,3,0,0,0,0,0,0,0,0,0,0,0,0,0.267522739432852,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,1,0,0.833333333333333,0.357638888888889
"35",35,"apache_sling-org-apache-sling-rewriter",2544,37,46,224,10,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4.46428571428571,2,0.393081761006289,0,43.4782608695652,0,0,0,0,0,0.393081761006289,0,0,0,4.46428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7391304347826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2173913043478,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.0666666666666667
"36",36,"apache_groovy",167242,1503,1771,18228,3228,0,419,217,0,165,0,131,219,594,0,1278,13,0,26,24,0,0,33,6,0,0,2,0,5,0,0,15,0,1,0,1,0,0,0,0,0,0,22,0,0,25,0,32,0,0,22.9866140004389,4,1.29752095765418,1.25,93.167701863354,1.66666666666667,0,0,73.9695087521174,2,1.3094796761579,0,32.587228439763,3.75,70.1119157340355,4,7.34048560135517,1.25,14.6809712027103,3.75,1.31665569453588,0,0.197318855311465,0,0.32916392363397,0,0,0,0,0,0.10972130787799,5,2.82326369282891,0,0,0,8.46979107848673,3,0.564652738565782,2.5,0.564652738565782,2.5,0,0,0,0,0,0,0,0,0,0,12.4223602484472,1.25,0,0,0.149483981296564,1,0,0,18.068887634105,3,0,0,0,0,1.75,0.625,1.1,2.88333333333333,0,1.875,1.37222222222222
"37",37,"hadoop-ozone",113643,1406,1416,9718,265,0,29,112,0,0,0,6,75,9,0,7,9,0,0,6,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2.9841531179255,1,0.985542444321252,1.25,0,0,0,0,4.23728813559322,0,0.659961458250838,0,0.926116484873431,0,0.720312821568224,0,6.35593220338983,1.25,0,0,0.61741098991562,0,0,0,0,0,0,0,2.11864406779661,0,0,0,0,0,1.41242937853107,5,0.706214689265537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0.2,0,0,0.1375
